1.7M	Asteroids@Home.json
1.4M	Asteroids@Home.msgpked_bin
760K	Asteroids@Home.proto_bin
24K	BURP.json
20K	BURP.msgpked_bin
12K	BURP.proto_bin
252K	Collatz.json
200K	Collatz.msgpked_bin
108K	Collatz.proto_bin
544K	Cosmology@Home.json
432K	Cosmology@Home.msgpked_bin
240K	Cosmology@Home.proto_bin
344K	CSGrid.json
276K	CSGrid.msgpked_bin
152K	CSGrid.proto_bin
312K	Find@Home.json
248K	Find@Home.msgpked_bin
140K	Find@Home.proto_bin
416K	GPUGRID.json
332K	GPUGRID.msgpked_bin
180K	GPUGRID.proto_bin
2.6M	Leiden Classical.json
2.0M	Leiden Classical.msgpked_bin
1.2M	Leiden Classical.proto_bin
1.8M	Milkyway@Home.json
1.4M	Milkyway@Home.msgpked_bin
760K	Milkyway@Home.proto_bin
4.0K	MindModeling.json
4.0K	MindModeling.msgpked_bin
4.0K	MindModeling.proto_bin
288K	Moowrap.json
228K	Moowrap.msgpked_bin
128K	Moowrap.proto_bin
164K	NFS.json
128K	NFS.msgpked_bin
72K	NFS.proto_bin
188K	NumberFields.json
148K	NumberFields.msgpked_bin
84K	NumberFields.proto_bin
828K	PrimeGrid.json
660K	PrimeGrid.msgpked_bin
360K	PrimeGrid.proto_bin
3.5M	Rosetta@Home.json
2.8M	Rosetta@Home.msgpked_bin
1.6M	Rosetta@Home.proto_bin
4.0K	SAT@Home.json
4.0K	SAT@Home.msgpked_bin
0	SAT@Home.proto_bin
11M	SETI@Home.json
8.5M	SETI@Home.msgpked_bin
4.7M	SETI@Home.proto_bin
40K	YAFU.json
32K	YAFU.msgpked_bin
20K	YAFU.proto_bin
388K	YOYO@Home.json
308K	YOYO@Home.msgpked_bin
172K	YOYO@Home.proto_bin
